Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
65,10,0,120,0,Some Random Commen with Id 65
66,11,2,52,6,Some Random Commen with Id 66
67,11,2,182,1,Some Random Commen with Id 67
68,11,2,188,3,Some Random Commen with Id 68
69,11,2,181,3,Some Random Commen with Id 69
70,11,2,87,1,Some Random Commen with Id 70
71,11,2,50,5,Some Random Commen with Id 71
72,12,6,149,2,Some Random Commen with Id 72
73,12,6,151,9,Some Random Commen with Id 73
74,12,6,189,1,Some Random Commen with Id 74
75,12,6,114,0,Some Random Commen with Id 75
76,12,6,55,2,Some Random Commen with Id 76
77,12,6,176,5,Some Random Commen with Id 77
78,12,6,61,6,Some Random Commen with Id 78
79,12,6,189,5,Some Random Commen with Id 79
80,12,6,141,6,Some Random Commen with Id 80
81,13,1,51,9,Some Random Commen with Id 81
82,13,1,187,1,Some Random Commen with Id 82
83,13,1,25,3,Some Random Commen with Id 83
84,13,1,154,7,Some Random Commen with Id 84
85,13,1,74,1,Some Random Commen with Id 85
86,13,1,15,8,Some Random Commen with Id 86
87,13,1,174,9,Some Random Commen with Id 87
88,13,1,54,7,Some Random Commen with Id 88
89,13,1,23,4,Some Random Commen with Id 89
90,14,0,3,2,Some Random Commen with Id 90
91,14,0,74,8,Some Random Commen with Id 91
92,15,8,87,8,Some Random Commen with Id 92
93,15,8,175,8,Some Random Commen with Id 93
94,15,8,92,0,Some Random Commen with Id 94
95,15,8,52,7,Some Random Commen with Id 95
96,15,8,32,2,Some Random Commen with Id 96
97,15,8,22,9,Some Random Commen with Id 97
98,16,2,103,1,Some Random Commen with Id 98
99,16,2,129,7,Some Random Commen with Id 99
100,17,2,29,5,Some Random Commen with Id 100
101,17,2,129,5,Some Random Commen with Id 101
102,17,2,125,6,Some Random Commen with Id 102
103,17,2,154,9,Some Random Commen with Id 103
104,17,2,100,2,Some Random Commen with Id 104
105,17,2,24,9,Some Random Commen with Id 105
106,17,2,42,2,Some Random Commen with Id 106
107,17,2,158,7,Some Random Commen with Id 107
108,18,0,70,6,Some Random Commen with Id 108
109,18,0,143,7,Some Random Commen with Id 109
110,19,1,64,9,Some Random Commen with Id 110
111,19,1,46,6,Some Random Commen with Id 111
112,19,1,54,6,Some Random Commen with Id 112
113,19,1,11,3,Some Random Commen with Id 113
114,19,1,87,0,Some Random Commen with Id 114
115,21,2,40,2,Some Random Commen with Id 115
116,21,2,187,5,Some Random Commen with Id 116
117,21,2,105,2,Some Random Commen with Id 117
118,22,0,52,4,Some Random Commen with Id 118
119,22,0,17,3,Some Random Commen with Id 119
120,22,0,69,0,Some Random Commen with Id 120
121,22,0,156,2,Some Random Commen with Id 121
122,22,0,59,4,Some Random Commen with Id 122
123,22,0,26,8,Some Random Commen with Id 123
124,22,0,42,6,Some Random Commen with Id 124
125,22,0,98,0,Some Random Commen with Id 125
126,23,4,177,6,Some Random Commen with Id 126
127,23,4,95,6,Some Random Commen with Id 127
128,23,4,24,8,Some Random Commen with Id 128
129,23,4,137,6,Some Random Commen with Id 129
130,23,4,106,9,Some Random Commen with Id 130
131,23,4,90,7,Some Random Commen with Id 131
132,23,4,19,7,Some Random Commen with Id 132
133,24,1,52,7,Some Random Commen with Id 133
134,24,1,116,5,Some Random Commen with Id 134
135,24,1,2,9,Some Random Commen with Id 135
136,24,1,107,9,Some Random Commen with Id 136
137,24,1,88,6,Some Random Commen with Id 137
138,24,1,105,4,Some Random Commen with Id 138
139,24,1,185,6,Some Random Commen with Id 139
140,24,1,186,4,Some Random Commen with Id 140
141,25,3,13,9,Some Random Commen with Id 141
142,25,3,121,1,Some Random Commen with Id 142
143,25,3,162,7,Some Random Commen with Id 143
144,25,3,142,1,Some Random Commen with Id 144
145,25,3,183,2,Some Random Commen with Id 145
146,25,3,177,9,Some Random Commen with Id 146
147,25,3,146,3,Some Random Commen with Id 147
148,26,1,129,7,Some Random Commen with Id 148
149,26,1,183,8,Some Random Commen with Id 149
150,26,1,53,8,Some Random Commen with Id 150
151,26,1,27,5,Some Random Commen with Id 151
152,26,1,157,9,Some Random Commen with Id 152
153,26,1,47,3,Some Random Commen with Id 153
154,26,1,23,6,Some Random Commen with Id 154
155,26,1,60,7,Some Random Commen with Id 155
156,27,7,66,5,Some Random Commen with Id 156
157,27,7,46,3,Some Random Commen with Id 157
158,27,7,35,6,Some Random Commen with Id 158
159,27,7,68,9,Some Random Commen with Id 159
160,27,7,80,3,Some Random Commen with Id 160
161,27,7,153,8,Some Random Commen with Id 161
162,27,7,15,6,Some Random Commen with Id 162
163,27,7,78,6,Some Random Commen with Id 163
164,28,4,44,2,Some Random Commen with Id 164
165,28,4,25,2,Some Random Commen with Id 165
166,28,4,67,4,Some Random Commen with Id 166
167,28,4,24,2,Some Random Commen with Id 167
168,28,4,194,0,Some Random Commen with Id 168
169,28,4,92,7,Some Random Commen with Id 169
170,28,4,24,1,Some Random Commen with Id 170
171,29,4,1,2,Some Random Commen with Id 171
172,29,4,164,4,Some Random Commen with Id 172
173,29,4,108,0,Some Random Commen with Id 173
174,29,4,196,8,Some Random Commen with Id 174
175,29,4,1,0,Some Random Commen with Id 175
176,30,1,24,9,Some Random Commen with Id 176
177,30,1,27,5,Some Random Commen with Id 177
178,30,1,108,6,Some Random Commen with Id 178
179,30,1,22,6,Some Random Commen with Id 179
180,31,5,104,7,Some Random Commen with Id 180
181,32,3,180,1,Some Random Commen with Id 181
182,32,3,158,8,Some Random Commen with Id 182
183,32,3,197,6,Some Random Commen with Id 183
184,32,3,119,9,Some Random Commen with Id 184
185,32,3,93,2,Some Random Commen with Id 185
186,32,3,20,2,Some Random Commen with Id 186
187,32,3,9,1,Some Random Commen with Id 187
188,32,3,37,3,Some Random Commen with Id 188
189,32,3,152,6,Some Random Commen with Id 189
190,33,7,10,2,Some Random Commen with Id 190
191,33,7,138,7,Some Random Commen with Id 191
192,33,7,94,9,Some Random Commen with Id 192
193,34,0,59,1,Some Random Commen with Id 193
194,34,0,35,9,Some Random Commen with Id 194
195,34,0,80,1,Some Random Commen with Id 195
196,34,0,143,6,Some Random Commen with Id 196
197,34,0,39,3,Some Random Commen with Id 197
198,34,0,101,6,Some Random Commen with Id 198
199,35,1,88,0,Some Random Commen with Id 199
200,35,1,91,7,Some Random Commen with Id 200
201,35,1,129,6,Some Random Commen with Id 201
202,35,1,15,8,Some Random Commen with Id 202
203,35,1,178,4,Some Random Commen with Id 203
204,35,1,79,3,Some Random Commen with Id 204
205,35,1,65,4,Some Random Commen with Id 205
206,35,1,83,3,Some Random Commen with Id 206
207,35,1,72,9,Some Random Commen with Id 207
208,36,9,97,7,Some Random Commen with Id 208
209,36,9,155,9,Some Random Commen with Id 209
210,36,9,118,5,Some Random Commen with Id 210
211,36,9,168,4,Some Random Commen with Id 211
212,36,9,78,5,Some Random Commen with Id 212
213,36,9,130,7,Some Random Commen with Id 213
214,36,9,108,4,Some Random Commen with Id 214
215,36,9,110,4,Some Random Commen with Id 215
216,36,9,42,1,Some Random Commen with Id 216
217,38,3,102,7,Some Random Commen with Id 217
218,38,3,133,7,Some Random Commen with Id 218
219,39,2,13,5,Some Random Commen with Id 219
220,39,2,90,6,Some Random Commen with Id 220
221,39,2,53,6,Some Random Commen with Id 221
222,39,2,25,9,Some Random Commen with Id 222
223,39,2,192,3,Some Random Commen with Id 223
224,39,2,126,0,Some Random Commen with Id 224
225,39,2,110,1,Some Random Commen with Id 225
226,39,2,157,9,Some Random Commen with Id 226
227,39,2,91,2,Some Random Commen with Id 227
